Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","108.112006","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","106.543223","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","106.391505","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","106.442999","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","107.149567","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","109.00229","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","107.452823","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","107.138247","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","108.119927","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","108.766485","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","110.408064","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","111.667079","E","Estimated value","base year is 2015"
